iter	Passed	Remaining
0	0	95
1	1	61
2	1	48
3	1	40
4	1	36
5	2	33
6	2	32
7	2	30
8	3	30
9	3	29
10	3	29
11	3	28
12	4	27
13	4	26
14	4	25
15	4	25
16	5	24
17	5	24
18	5	23
19	6	26
20	6	25
21	7	24
22	7	24
23	7	23
24	7	23
25	7	22
26	8	22
27	8	21
28	8	21
29	8	20
30	9	20
31	9	19
32	9	19
33	9	19
34	10	18
35	10	18
36	10	18
37	10	17
38	11	17
39	11	16
40	11	16
41	11	15
42	11	15
43	12	15
44	12	15
45	12	14
46	12	14
47	13	14
48	13	13
49	13	13
50	13	13
51	14	12
52	14	12
53	14	12
54	14	11
55	14	11
56	15	11
57	15	11
58	15	10
59	15	10
60	16	10
61	16	10
62	16	9
63	16	9
64	17	9
65	17	8
66	17	8
67	17	8
68	18	8
69	18	7
70	18	7
71	18	7
72	19	7
73	19	6
74	19	6
75	19	6
76	20	5
77	20	5
78	20	5
79	20	5
80	21	4
81	21	4
82	21	4
83	21	4
84	22	3
85	22	3
86	22	3
87	22	3
88	22	2
89	23	2
90	23	2
91	23	2
92	23	1
93	24	1
94	24	1
95	24	1
96	24	0
97	25	0
98	25	0
99	25	0
